,id_person,nickname,name,surname,id_address,birthdate,height
0,1,kruťas,Radek,Krůta,34,1968-09-06,164.0
1,2,Lorenc,Tomáš,Lorenc,2,1984-12-06,184.0
2,3,Hrudík,Milan,Hruda,3,1982-01-20,180.0
3,4,Smeták,David,Kunz,4,1983-05-25,172.0
4,5,Zedňas,Michal,Zedník,5,1980-03-09,176.0
5,6,Zemák,Jaroslav,Zemek,6,1982-10-20,161.0
6,7,Tomák,Tomáš,Tomašík,7,1979-10-11,185.0
7,8,Velebník,Radek,Veleba,8,1986-04-29,194.0
8,9,Stupík,Radovan,Stupka,9,1982-02-24,175.0
9,10,Menča,Jaroslav,Menčík,10,1981-05-13,176.0
10,11,Malina,Miroslav,Malinka,11,1984-06-14,180.0
11,12,Látoš,Lubomír,Látal,10,1985-07-27,173.0
12,13,Kubík,Tomáš,Kubala,12,1964-10-09,174.0
13,14,Kalík,David,Kalivoda,13,1974-11-29,178.0
14,15,Smeták,Tomáš,Janda,14,1989-12-01,162.0
15,16,Fucha,Lubomír,Fuchs,15,1952-11-02,168.0
16,17,Bárt,Stanislav,Bartoš,16,1980-12-20,177.0
17,18,Beník,Svatopluk,Beneš,17,1942-07-16,180.0
18,19,Ambřík,Ondřej,Ambros,18,1946-01-15,166.0
19,20,Čerma,Jaroslav,Čermák,19,1979-09-30,159.0
20,21,Jarča,Jaroslava,Čermáková,19,1982-06-19,160.0
21,22,Dupi,Svatopluk,Dupal,20,1968-08-21,194.0
22,23,Houser,Luděk,Housera,21,1975-11-18,185.0
23,24,Lusi,Lucie,Houserová,21,1978-05-26,172.0
24,25,Daník,Markéta,Daňková,22,1985-11-09,165.0
25,26,Emicka111,Klára,Judexová,23,1971-01-12,185.0
26,27,Emiii4x4,Kristýna,Kadlčíková,24,1972-02-15,177.0
27,28,Helusska,Lada,Kanýzová,24,1973-03-18,168.0
28,29,hilary,Lenka,Kocmanová,25,1974-04-25,170.0
29,30,Igneess,Lenka,Kollariková,26,1975-05-01,170.0
30,31,katulka68,Lenka,Kollmannová,27,1981-10-24,168.0
31,32,kiikushka,Lenka,Kovačková,28,1976-11-28,172.0
32,33,anďa,Andrea,Kollmannová,29,1977-12-21,163.0
33,34,Kiiny,Lenka,Kozílková,30,1978-06-30,182.0
34,35,kikin14,Lucie,Kyzlinková,31,1979-12-31,176.0
35,36,klokinka,Lucie,Mácová,32,1980-05-16,166.0
36,37,barca.baran,Eva,Doležalová,33,1965-02-12,169.0
37,38,Barusha.K,Ilona,Edinová,34,1966-03-16,173.0
38,39,Bedruna009,Jana,Flochová,35,1967-09-08,178.0
39,40,bedrunka6,Jana,Formánková,36,1986-05-11,190.0
40,41,brachysegra,Jana,Galiová,37,1982-07-07,175.0
41,42,Diddelinka,Kateřina,Hrdličková,39,1985-01-13,181.0
42,43,Dvarfka,Kateřina,Hrušková,40,1980-05-16,164.0
